© Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;
;;;;;;;;;;
Alphabetisches Verzeichnis der Wahlbewerber zur Bundestagswahl 2013;;;;;;;;;;
;;;;;;;;;;
Name, Vorname;Geburtsjahr;Beruf;Berufsschlüssel;Geschlecht;Partei;Land;Platz;Wahlkreis;"Gewählt: 1=über Wkr; 2=über LL";
Grund, Manfred;1955;MdB, Diplom-Elektroingenieur;76;1;CDU;TH;1;189;1;
Gründler, Birgitta;1961;Taxifahrerin;71;2;BüSo;;;158;0;
Gründler, Michael Johannes;1958;Angestellter;78;1;BüSo;SN;1;159;0;
Grundmann, Bastian;1982;Fachinformatiker, Techniker;77;1;PIRATEN;;;5;0;
Grundmann, Oliver;1971;Geschäftsführer, Rechtsanwalt;75;1;CDU;NI;20;30;1;
Grüner, Anton;1951;Technischer Angestellter;62;1;REP;BY;6;;0;
Gruner, Stefanie;1980;Rechtsanwältin;81;2;GRÜNE;SN;7;152;0;
Grunert, Benno;1935;Rentner;95;1;NPD;;;269;0;
Grunert, Jörg;1966;Diplom-Ingenieur (FH) Informationstechnologie;60;1;FREIE WÄHLER;;;38;0;
Grünewald, Heinz Werner;1962;Versicherungs-Fachmann;69;1;NPD;HE;4;;0;
Grünler, Kai;1971;Informatiker;77;1;PIRATEN;SN;14;166;0;
Grunzel, Michael;1969;Journalist;82;1;NPD;ST;5;68;0;
Grupe, Alexander;1978;Software-Entwickler;77;1;Die PARTEI;HH;1;;0;
Gruß, Miriam;1975;Mitglied des Deutschen Bundestages;76;2;FDP;BY;3;252;0;
Grütters, Monika;1962;Stiftungsvorstand, Honorarprofessorin;75;2;CDU;BE;1;85;2;
Guckenbiehl, Oliver;1982;Selbstständiger Immobilienmakler;70;1;SPD;RP;34;;0;
Guckert, Andreas;1980;Angestellter;78;1;PIRATEN;SL;5;299;0;
Gudella de Graaf, Ute;1958;Physiotherapeutin;85;2;SPD;NI;52;;0;
Gührs, Dr. Erik;1982;Physiker;61;1;SPD;BE;10;86;0;
Güllich, Hans-Jürgen;1962;Kfz-Mechaniker;28;1;NPD;;;283;0;
Gums, Rüdiger;1959;Elektromechaniker;31;1;Anderer KWV;;;33;0;
Gundelach, Dr. Herlind Magdalena;1949;Senatorin a.D.;95;2;CDU;HH;3;23;2;
Gundelbacher, Thomas;1964;Berufskraftfahrer;71;1;PIRATEN;;;47;0;
Gunkel, Angelika Eleonore Wilhelmine;1955;Angestellte;78;2;GRÜNE;HE;19;180;0;
Gunkel, Wolfgang Michael;1947;Mitglied des Deutschen Bundestages;76;1;SPD;SN;5;164;2;
Günther, Reinhard;1944;Selbständiger Unternehmensberater;75;1;FDP;BW;35;280;0;
Günther, Thomas Joachim;1951;Bergbaumaschinist;7;1;MLPD;SN;3;;0;
Günther, Uwe;1932;Rentner;95;1;RENTNER;SH;2;;0;
Güntzler, Fritz;1966;Wirtschaftsprüfer, Steuerberater;75;1;CDU;NI;10;53;2;
Gurack, Ditte;1973;Dozentin;87;2;GRÜNE;NW;25;;0;
Gutsch, Alexander;1989;Brandmeisteranwärter;80;1;Anderer KWV;;;135;0;
Gutsche, Hermann Josef Andreas;1954;EDV-Berater;77;1;NPD;SH;2;5;0;
Gutting, Olav Steffen;1970;MdB, Rechtsanwalt;76;1;CDU;;;278;1;
Guzy, Joachim Josef;1958;Diplom-Psychologe;88;1;FREIE WÄHLER;SN;7;159;0;
Gysi, Dr. Gregor;1948;MdB, Rechtsanwalt;76;1;DIE LINKE;BE;1;84;1;
Haack, Andreas;1979;Bäcker;39;1;NPD;;;29;0;
Haag, Rainer;1962;Kranmonteur;25;1;REP;BW;11;271;0;
Haage, Gert;1948;Diplom-Staatswissenschaftler;88;1;FREIE WÄHLER;SN;9;;0;
Haarmann, Kerstin;1966;Kämmerin;76;2;GRÜNE;NW;23;137;0;
Haas, Angelika;1941;Diplom-Bibliothekarin;82;2;REP;BY;49;;0;
Haase, Christian;1966;Bürgermeister;76;1;CDU;;;136;1;
Haase, Martin;1955;Unternehmensberater;75;1;AfD;NW;12;100;0;
Haase, Stephan;1968;Offset-Drucker;17;1;NPD;NW;2;149;0;
Haase, Wilfried Harald;1940;Diplom-Chemiker;61;1;FREIE WÄHLER;BB;6;57;0;
Habedank, Andre;1972;Selbständig;99;1;AfD;ST;9;;0;
Habel, Peter;1963;Architekt;60;1;FDP;SL;9;;0;
Häberle, Axel;1956;Jurist;81;1;CDU;BW;55;;0;
Habermann, Heike Margot;1956;Sekretärin;78;2;GRÜNE;HE;23;;0;
Haböck, Vera;1974;Medizinisch-Technische Radiologieassistentin;85;2;FDP;SL;6;;0;
Hacker, Hans-Joachim;1949;Diplom-Jurist;81;1;SPD;MV;4;12;0;
Hacker, Sebastian;1984;Softwareentwickler;77;1;PIRATEN;;;164;0;
Haddouti, Mohamed;1968;Informatiker;77;1;BIG;NW;9;;0;
Haderer, Roland;1949;Elektro-Installateur;31;1;BüSo;HE;7;;0;
Haenschke, Gustav Walter;1948;Rentner;95;1;NPD;ST;7;69;0;
Haese, Peter Joachim Bruno;1937;Rentner;95;1;NPD;;;233;0;
Häfen von, Sylvia;1974;Krankenschwester;85;2;DIE LINKE;NW;20;118;0;
Hagedorn, Bettina;1955;MdB, Goldschmiedin;76;2;SPD;SH;2;9;2;
Hagedorn, Nicolai;1976;Lehrer;87;1;Die PARTEI;HE;17;;0;
Hagelstede, Guido;1967;Betriebswirt,Gefahrgutbeauftragter;88;1;DIE LINKE;;;29;0;
Hagelstein, Dirk Gene;1967;Angestellter;78;1;SPD;HE;23;185;0;
Hagemann, Willy;1989;Student;94;1;SPD;BB;15;;0;
Hagen, Heide;1956;Goldschmiedin;30;2;PIRATEN;BE;9;;0;
Häger, Iris;1971;Krankenschwester;85;2;FREIE WÄHLER;;;98;0;
Häggberg, Florian;1972;Ingenieur;60;1;ÖDP;HH;6;;0;
Häggberg, Verena;1973;Pastorin;89;2;ÖDP;HH;3;;0;
Hagl-Kehl, Rita;1970;Studienrätin;87;2;SPD;BY;20;227;2;
Hahn, Andreas;1971;Produktionsmanager;75;1;PIRATEN;BW;8;277;0;
Hahn, Dr. Andre Peter Frank;1963;Mitglied des Landtages;76;1;DIE LINKE;SN;2;158;2;
Hahn, Florian;1974;Mitglied des Deutschen Bundestages;76;1;CSU;BY;23;222;1;
Hahn, Julius;1994;Auszubildender zum Verwaltungsfachangestellten;98;1;PIRATEN;;;147;0;
Hahn, Peter;1958;Dachdecker;48;1;REP;RP;7;;0;
Hähnel, Stella;1972;Kauffrau;78;2;NPD;BB;2;;0;
Hähnlein, Rene;1971;Industriekaufmann;78;1;DIE LINKE;;;238;0;
Haider, Bernd;1968;Diplom-Ingenieur;60;1;REP;MV;3;;0;
Hajduk, Anja Margarete Helene;1963;Diplom-Psychologin;88;2;GRÜNE;HH;1;21;2;
Hajek, Rainer;1945;Groß- und Außenhandelskaufmann;67;1;CDU;NI;31;;0;
Hakverdi, Metin;1969;Rechtsanwalt;81;1;SPD;HH;8;23;1;
Halbe, Bastian;1993;Auszubildender Zerspanungsmechaniker;98;1;PIRATEN;;;149;0;
Haliti, Marcel;1983;Anlagenmechaniker;25;1;NPD;NW;6;118;0;
Hall von, Peter-Rene;1981;Jurist;81;1;AfD;NW;11;;0;
Hallasch, Philip-Mario;1989;Getriebemonteur;27;1;NPD;;;288;0;
Hamal, Klaus;1965;selbstständiger Handwerksmeister IT;75;1;FREIE WÄHLER;BY;41;;0;
Hamann, David;1981;Historiker;88;1;Die PARTEI;BE;54;75;0;
Hamburger, Josef;1963;Maler- und Lackdesigner;51;1;CDU;BW;50;;0;
Hammer, Pirmin;1961;Winzer;1;1;NPD;RP;9;;0;
Hammer, Silke;1968;Angestellte;78;2;AfD;SH;25;;0;
Hammerlindl, Klaus Anton;1965;Filmemacher;83;1;Die PARTEI;;;244;0;
Hammitzsch, Gerhard;1958;Informatiker;77;1;FREIE WÄHLER;BW;9;258;0;
Hampel, Armin-Paulus;1957;Journalist;82;1;AfD;NI;4;;0;
Hampel, Martin;1980;Medienpädagoge;88;1;PIRATEN;;;63;0;
Hampel, Ulrich;1964;Gewerkschaftssekretär;76;1;SPD;NW;27;127;2;
Hand, Gesche;1972;Geschäftsführerin;75;2;GRÜNE;NI;13;50;0;
Händelkes, Melanie;1977;Erzieherin in Sonderurlaub;86;2;NPD;NW;10;93;0;
Hanf, Martina;1967;Erzieherin;86;2;ÖDP;TH;20;;0;
Hanf, Thomas;1969;Ingenieur;60;1;ÖDP;TH;8;;0;
Hanfland, Margarita Maria;1957;Freiberuflerin;99;2;BIG;NW;10;;0;
Hanika, Christian;1986;technischer Betriebswirt;78;1;FREIE WÄHLER;BY;1;228;0;
Hanisch, Angela Anne;1957;Angestellte;78;2;GRÜNE;HE;21;182;0;
Hanisch, Dr. Karl Hans-Joachim;1948;Umweltplaner;60;1;DIE LINKE;HH;4;18;0;
Hanke, Meinhard Franz Helmut;1940;Betriebswirt i.R.;95;1;DIE VIOLETTEN;BY;6;;0;
Hänsel, Heike;1966;Mitglied des Deutschen Bundestages;76;2;DIE LINKE;BW;2;290;2;
Hansen, Arnold;1956;Pensionär;95;1;FREIE WÄHLER;NI;8;28;0;
Hansen, Dr. Gerhard;1959;Unternehmensberater;75;1;FDP;NW;42;107;0;
Hansen, Frank;1973;Kaufmännischer Angestellter;78;1;FDP;BY;42;214;0;
Hansmeyer, Ramon;1975;Diplom-Kaufmann, Übersetzer;88;1;AfD;;;137;0;
Hantusch, Thomas;1966;Kaufmann der Grundstücks- und Wohnungswirtschaft;70;1;NPD;HE;1;172;0;
Happach-Kasan, Dr. Christel Erika;1950;Biologin;88;2;FDP;SH;4;10;0;
Happe, Markus;1976;Werbegestalter;83;1;FREIE WÄHLER;;;142;0;
Harbarth, Dr. Stephan;1971;MdB, Rechtsanwalt;76;1;CDU;;;277;1;
Harder, Ronald;1947;Kaufmann i.R.;95;1;RENTNER;BW;2;;0;
Hardt, Jürgen;1963;MdB, Diplom-Volkswirt;76;1;CDU;NW;39;103;1;
Harig, Klaus;1963;Diplom-Ingenieur;60;1;AfD;;;50;0;
Harling, Katharina;1985;Diplom-Psychologin;88;2;Die PARTEI;BE;11;84;0;
Harmel, Sebastian;1982;Soldat auf Zeit;80;1;PIRATEN;SN;1;159;0;
Harms, Daniel;1981;Grafikdesigner;91;1;Die PARTEI;HH;6;;0;
Härting, Martina;1956;Zahnarzthelferin;85;2;AfD;;;31;0;
Hartjen, Florian Andreas;1990;Student;94;1;FDP;;;193;0;
Hartmann, Alexander;1961;Chefredakteur;82;1;BüSo;HE;1;179;0;
Hartmann, Caroline;1959;Angestellte;78;2;BüSo;HE;9;;0;
Hartmann, Christian;1985;Standortleiter Logistik;75;1;CDU;HE;32;;0;
Hartmann, Kai;1971;Hausmann;95;1;Bündnis 21/RRP;HB;5;;0;
Hartmann, Michael;1963;MdB, Regierungsangestellter;76;1;SPD;RP;4;206;2;
Hartmann, Sebastian;1977;Organisationsberater;75;1;SPD;NW;15;97;2;
Hartmann, Simon;1977;Parlamentarischer Referent;76;1;SPD;NI;39;;0;
Hartmann, Uwe;1963;Übersetzer;82;1;BP;BY;1;;0;
Hartrich, Michael Richard;1967;Softwareentwickler;77;1;PIRATEN;BY;29;251;0;
Hartung, Dr. Thomas;1962;Freiberuflicher Dozent;87;1;AfD;SN;6;;0;
Hartung, Melanie;1976;Diplom-Sozialpädagogin;88;2;AfD;NW;10;;0;
Haschke, Mathias;1982;Student;94;1;Die PARTEI;;;153;0;
Hasecke, Ulrich;1963;Texter, Autor;82;1;PIRATEN;;;103;0;
Hasenjäger, Agnes;1950;Verwaltungsangestellte;78;2;DIE LINKE;;;47;0;
Haskic, Beate;1965;Gastwirtin;91;2;BP;;;242;0;
Haslinger, Thomas;1986;Doktorand;88;1;CSU;BY;53;;0;
Hassel, Dagmar Luise;1958;Justizbeamtin;78;2;CDU;RP;19;;0;
Hässelbarth, Ralf Peter Siegfried;1952;Regierungsangestellter;76;1;GRÜNE;MV;5;16;0;
Hasselfeldt, Gerda;1950;Mitglied des Deutschen Bundestages;76;2;CSU;BY;1;216;1;
Haßelmann, Britta;1961;Diplom-Sozialarbeiterin;86;2;GRÜNE;NW;3;132;2;
Hastan, Christine;1961;betriebswirtschaftliche-pharmazeutische Assistentin (BPA);75;2;BüSo;HE;4;;0;
Hattendorf, Arne;1967;Diplom-Ingenieur;60;1;PIRATEN;;;49;0;
Haubrich, Melanie Svenja;1983;Rechtsreferendarin;81;2;SPD;HE;16;;0;
Hauck, Albrecht;1954;Bankkaufmann;69;1;FAMILIE;SL;4;;0;
Hauck, Marc;1978;Bankfachwirt;69;1;FDP;RP;18;;0;
Hauck, Nobert;1949;Bezirksdirektor i.R.;95;1;REP;RP;1;;0;
Hauer, Matthias;1977;Rechtsanwalt;81;1;CDU;NW;30;120;1;
Haug, Stefan;1958;Fachgroßhändler;67;1;GRÜNE;;;230;0;
Haugk, Matthias;1962;Maschinenführer;54;1;REP;BW;15;;0;
Hauke, Marco;1973;Polizeibeamter;80;1;PIRATEN;BW;20;261;0;
Hauptmann, Mark Lars Carsten;1984;Politikwissenschaftler;88;1;CDU;TH;9;197;1;
Hausberg, Dr. Dietlind;1962;Richterin;81;2;AfD;SH;7;;0;
Hauser, Dr. Rolf Dieter;1955;Arzt;84;1;FREIE WÄHLER;;;281;0;
Häusling, Hermann;1956;Diplom-Agraringenieur;3;1;GRÜNE;;;170;0;
Hausmann, Dr. Sebastian;1968;Physiker, IT-Berater;61;1;AfD;SH;2;7;0;
Haustein, Heinz-Peter;1954;Mitglied des Deutschen Bundestages;76;1;FDP;SN;2;164;0;
Haveneth, Birgit;1975;Managementassistentin;75;2;FDP;NW;20;87;0;
Haydt, Claudia;1966;Religionswissenschaftlerin;88;2;DIE LINKE;BW;11;262;0;
Heber, Claudia;1976;Diplom-Verwaltungswirtin (FH);76;2;CDU;TH;12;;0;
Hebestadt, Marco;1983;Angestellter;78;1;BüSo;SN;4;160;0;
Heck, Dr. Stefan;1982;Jurist;81;1;CDU;HE;12;171;2;
Heck, Peter Hubert;1951;Steuerberater;75;1;FREIE WÄHLER;BB;3;58;0;
Hecker, Heinz-Josef;1948;Prokurist;75;1;AfD;NW;28;110;0;
Hecker, Hermine;1935;Rentnerin;95;2;CDU;HH;9;;0;
Heendorf, Michael;1964;Kriminalbeamter a.D.;95;1;AfD;ST;1;;0;
Heepen, Michael Remy;1978;Maler und Lackierer;51;1;Die PARTEI;NW;27;;0;
Heesen, Rene;1992;Industriemechaniker;27;1;GRÜNE;NW;40;111;0;
Hegeler, Beate;1955;Hausfrau;95;2;REP;BY;19;;0;
Hegeler, Horst;1939;Rentner;95;1;REP;BY;40;;0;
Hegenbarth, Thomas;1964;Diplom-Ingenieur;60;1;PIRATEN;;;95;0;
Hegener, Wilhelm;1955;Beamter i. R.;95;1;pro Deutschland;ST;4;;0;
Hegewald, Jann Christian;1992;Student;94;1;CDU;NI;43;;0;
Hehl, Christian;1969;Arbeiter;53;1;NPD;RP;8;;0;
Heide, Srita;1968;Personalmanagementberaterin;75;2;CDU;HE;35;;0;
Heidenblut, Dirk;1961;Geschäftsführer;75;1;SPD;NW;59;119;1;
Heidenreich, Ralph;1957;Softwareentwickler, Autor;77;1;DIE LINKE;;;292;0;
Heider, Dr. Matthias;1966;Rechtsanwalt;81;1;CDU;;;149;1;
Heider, Maria;1959;Angestellte;78;2;GRÜNE;BB;5;58;0;
Heider, Stephan;1966;SAP-Berater;77;1;ÖDP;BW;5;;0;
Heiderich, Helmut;1949;Diplom-Volkswirt;88;1;CDU;HE;13;169;2;
Heidingsfelder, Martin;1965;Plagiatssucher;87;1;PIRATEN;BY;25;;0;
Heidkamp, Erich Heinrich;1948;Pensionär;95;1;AfD;;;183;0;
Heidrich, Annette Mathilde;1967;Tagesmutter;86;2;SPD;BY;36;213;0;
Heidt, Peter;1965;Rechtsanwalt;81;1;FDP;HE;25;;0;
Heike, Anny;1948;Rentnerin;95;2;DIE LINKE;BY;13;243;0;
Heil, Dr. Matthias;1963;Diplom-Mathematiker;61;1;Die PARTEI;BE;24;;0;
Heil, Hubertus;1972;MdB, Politikwissenschaftler;76;1;SPD;NI;5;45;1;
Heil, Mechthild;1961;MdB, Diplom-Ingenieurin, Architektin;76;2;CDU;RP;7;199;1;
Heilig, Martin Michael;1975;Lehrer;87;1;GRÜNE;BY;28;251;0;
Heilig, Thomas;1964;Stadtarbeiter;47;1;FREIE WÄHLER;;;95;0;
Heilmeier, Bernd;1959;Verlagsleiter;68;1;FREIE WÄHLER;BY;21;216;0;
Heim, Adrian;1964;Qualitätsmanager;62;1;ÖDP;BY;13;216;0;
Heim, Elmar;1952;Angestellter;78;1;DIE LINKE;BY;10;255;0;
Heim, Ulrich Wolfgang;1957;Anwendungsentwickler;77;1;NPD;;;36;0;
Heimann, Dr. Christian Jörg Johannes Hinrich;1961;Geschäftsführer;75;1;FREIE WÄHLER;ST;3;69;0;
Heimann, Wolfgang;1960;Selbständig;99;1;Anderer KWV;;;10;0;
Heimsoth, Dirk;1956;Rentner;95;1;NPD;;;38;0;
Hein, Dr. Rosemarie Anna Gertrud;1953;MdB, Lehrerin, Kunstwissenschaftlerin;76;2;DIE LINKE;ST;5;69;2;
Hein, Olaf;1956;Doktor-Ingenieur;60;1;AfD;NW;41;;0;
Hein, Wilfried;1952;Einzelhandelskaufmann;67;1;REP;NI;4;;0;
Heine, Tobias;1986;Spieleentwickler;77;1;PIRATEN;NI;12;;0;
Heineke, Heinrich;1949;Kaufmann;78;1;FDP;NW;39;137;0;
Heinel, Silvia;1988;Angestellte;78;2;BüSo;SN;2;;0;
Heinemann, Dr. Uwe;1975;Studienrat;87;1;SPD;HE;45;;0;
Heinen, Alexandra;1971;Rechtsanwältin;81;2;CDU;SL;16;;0;
Heinlein, Filip;1985;Student;94;1;GRÜNE;TH;11;;0;
Heinrich, Detlef;1942;Rentner;95;1;pro Deutschland;BW;5;;0;
Heinrich, Frank;1964;Mitglied des Deutschen Bundestages;76;1;CDU;;;162;1;
Heinrich, Gabriela;1963;Redakteurin;82;2;SPD;BY;22;244;2;
Heinrich, Ralf;1962;Kraftfahrer;71;1;BüSo;BY;10;;0;
Heinrich, Ronald;1976;Kommunikationstrainer;87;1;PIRATEN;;;221;0;
Heinrich, Torsten;1982;Selbständig;99;1;AfD;;;251;0;
Heintze, Roland;1973;Geschäftsführender Gesellschafter;75;1;CDU;HH;11;;0;
Heinzmann, Axel Werner;1946;Rentner;95;1;NPD;;;289;0;
Heinzmann-Jimenez, Gabriel;1991;Personal Assistent;78;1;PIRATEN;;;105;0;
Heipel, Tabea;1988;Diplom-Verwaltungswirtin;76;2;SPD;HE;38;;0;
Heise, Thorsten;1969;Selbständiger Verleger;99;1;NPD;TH;2;189;0;
Heiske, Thomas Martin;1966;Rechtsanwalt;81;1;FDP;NW;55;113;0;
Heiß, Michael;1947;Klärfacharbeiter i. R.;95;1;NPD;;;241;0;
Heitmann, Alfred;1948;Fregattenkapitän a.D.;95;1;AfD;;;126;0;
Held, Marcus;1977;Jurist;81;1;SPD;RP;10;207;2;
Heldberg, Thomas;1977;Diplom-Ökonom;88;1;FDP;MV;3;12;0;
Heldmann, Eva-Maria Helene;1982;Gemeindepädagogin;88;2;SPD;HE;36;;0;
Helfrich, Mark;1978;Betriebswirt;88;1;CDU;SH;11;3;1;
Helge, Ingo Rüdiger;1976;Anwendungsentwickler;77;1;NPD;NI;8;35;0;
Heller, Hendrick Tilmann;1986;Diplom-Ingenieur Agrarwissenschaften;88;1;NPD;TH;8;;0;
Heller, Uda Carmen Freia;1951;Diplom-Ingenieurin für Lebensmitteltechnologie (FH);60;2;CDU;ST;6;74;1;
Heller-Elspaß, Alexander;1953;Kaufmann;78;1;Die PARTEI;BE;46;;0;
Helling, Harald;1958;Technischer Angestellter;62;1;SPD;NI;59;;0;
Helling-Plahr, Katrin;1986;Rechtsreferendarin;81;2;FDP;NW;23;138;0;
Hellmich, Wolfgang;1958;Mitglied des Deutschen Bundestages;76;1;SPD;NW;13;146;2;
Hellmuth, Jörg;1957;Diplom-Agraringenieur;3;1;CDU;ST;7;66;1;
Hellriegel, Ronnie;1978;Gas -und Wasserinstallateur;26;1;NPD;;;258;0;
Helm, Anne;1986;Synchronsprecherin;83;2;PIRATEN;;;82;0;
Hemmerich, Kai-Uwe;1969;Betriebsratsvorsitzender;76;1;CDU;HE;34;;0;
Hendricks, Dr. Barbara;1952;Ministerialrätin a.D;95;2;SPD;NW;2;112;2;
Henjes, Lutz-Michael;1959;Diplom-Ingenieur Elektrotechnik;60;1;AfD;ST;16;;0;
Henke, Jürgen Christoph;1958;Industriekaufmann;78;1;NPD;NI;7;;0;
Henke, Rudolf;1954;MdB, Arzt;76;1;CDU;NW;32;87;1;
Henn, Heidtrud;1962;Diakonin;89;2;SPD;SL;3;;2;
Hennes, Benjamin Herbert;1987;Industriebuchbinder;17;1;NPD;;;294;0;
Hennig, Holger;1974;Theaterpädagoge;88;1;PIRATEN;NW;24;;0;
Hennig, Mario;1966;Betriebswirt;88;1;SPD;ST;8;68;0;
Hennig, Martin;1970;Medienberater;70;1;BüSo;BY;7;218;0;
Henning, Joachim H.;1952;Sozialarbeiter;86;1;FREIE WÄHLER;;;83;0;
Henninger, Hans-Dieter;1952;Unfallrentner;95;1;AfD;RP;25;;0;
Hennrich, Michael;1965;Mitglied des Deutschen Bundestages;76;1;CDU;;;262;1;
Henrichs, Wener;1938;Kaufmann;78;1;Volksabstimmung;NW;10;;0;
Hense, Norbert;1990;Technischer Assistent;62;1;PIRATEN;BW;18;284;0;
Hentschel, Dr. Stephanie;1963;Diplom-Chemikerin;61;2;FREIE WÄHLER;BY;8;219;0;
Hentschel, Michael;1964;Versicherungsvermittler;69;1;AfD;;;135;0;
Heppding, Achim;1954;Angestellter;78;1;PSG;HE;2;;0;
Herbert, Dr. Ernst Albert;1952;Arzt;84;1;MLPD;;;101;0;
Herbert, Dr. Ulrich;1952;Rechtsanwalt;81;1;FDP;BY;14;238;0;
Herbert, Reinhold;1961;Verwaltungsangestellter;78;1;FREIE WÄHLER;BY;11;221;0;
Herbert, Sibylle Bärbel;1942;Rentnerin;95;2;FDP;HE;32;;0;
Herbig, Günter Franz Wilhelm;1948;Außendienstmitarbeiter;68;1;DIE LINKE;;;289;0;
Herbold, Peter;1965;Mechaniker;27;1;REP;BW;17;277;0;
Herbold, Philipp Alexander;1983;Rechtsanwalt;81;1;FDP;HE;30;;0;
Hercher, Rolf;1937;Rentner;95;1;Anderer KWV;;;61;0;
Herdan, Marion Marga;1958;Angestellte;78;2;CDU;SH;12;;0;
Herff, Janina;1983;Sozialwissenschaftlerin;88;2;DIE LINKE;NW;13;119;0;
Herget von, Dr. Harald;1963;Rechtsanwalt;81;1;FREIE WÄHLER;BE;5;;0;
Herion, Peter;1941;Geprüfter Pharmareferent;68;1;pro Deutschland;ST;3;;0;
Herlitzius, Bettina;1960;Architektin;60;2;GRÜNE;NW;17;88;0;
Hermann, Frank-Uwe;1943;Rentner;95;1;REP;BY;22;;0;
Hermann, Petra;1960;Unternehmensberaterin;75;2;FDP;NW;45;120;0;
Herr, Alfred;1948;Betonbaumeister, Hochbautechniker;44;1;CDU;SL;20;;0;
Herre, Caroline;1946;Dozentin;87;2;MLPD;BW;12;;0;
Herrmann, Franz-Rudolf;1948;Rentner;95;1;FAMILIE;SL;2;;0;
Herrmann, Klaus Lars;1977;Polizeibeamter;80;1;AfD;SN;4;;0;
Herzog, Gustav;1958;Mitglied des Deutschen Bundestages;76;1;SPD;RP;2;210;1;
Herzog, Tibor;1963;Übersetzer;82;1;NPD;;;95;0;
Heß, Petra;1959;Kindergärtnerin;86;2;SPD;TH;4;192;0;
Hesse, Klaus-Peter;1967;Geschäftsführer;75;1;CDU;HH;10;;0;
Hesse, Markus Arthur;1966;Diplom-Kaufmann (Univ.);88;1;AfD;;;231;0;
Hesse, Patricia;1959;Übersetzerin;82;2;Partei der Nichtwähler;NW;3;;0;
Heublein, Sven;1984;Studienreferendar;87;1;CSU;BY;63;;0;
Heumos, Joachim;1962;Gerätewart;79;1;ÖDP;BW;20;;0;
Heun, Susanne;1956;Leitende Angestellte;75;2;FDP;RP;25;;0;
Heveling, Ansgar;1972;MdB, Oberregierungsrat a.D.;76;1;CDU;;;110;1;
Hewald, Georg;1957;Straßenbauer;46;1;DIE LINKE;;;99;0;
Heydrich, Dr. Carl Allwill Jürgen;1933;Bibliotheksdirektor i.R.;95;1;REP;NW;4;;0;
Hiekisch, Antje;1977;Touristikfachkraft;70;2;NPD;SN;3;;0;
Hiery, Dr. Hermann;1957;Universitätsprofessor;87;1;FDP;BY;32;237;0;
Hildebrand, Anna-Maria;1985;Studentin;94;2;BüSo;BE;12;80;0;
Hilger, Katrin Cornelia;1966;PR-Consultant;70;2;PIRATEN;HE;6;;0;
Hilgers, Mirko;1967;Kraftfahrer;71;1;NPD;;;110;0;
Hilgert, Erik;1987;Fachinformatiker Systemintegration;77;1;Die PARTEI;NW;24;;0;
Hilgert, Rainer Josef;1953;Unternehmer;75;1;ÖDP;RP;1;199;0;
Hill, Hans-Kurt;1950;Kaufmann im Groß-und Außenhandel;67;1;DIE LINKE;SL;4;;0;
Hille, Dieter;1961;Diplom-Ingenieur Maschinenbau;60;1;DIE LINKE;;;167;0;
Hillebrand, Klaus-Jürgen;1950;Sonderschulrektor a.D.;95;1;AfD;SH;16;;0;
Hiller, Claus- Detlev;1946;Diplom- Ingenieur;60;1;AfD;NI;9;;0;
Hiller-Ohm, Gabriele Therese Hedwig;1953;Mitglied des Deutschen Bundestages;76;2;SPD;SH;4;11;1;
Hillingshäuser, Armin;1961;Diplom-Ingenieur (FH) Elektrotechnik;60;1;FREIE WÄHLER;RP;11;205;0;
Hilpert, Bernd;1965;Geschäftsführer;75;1;NPD;;;180;0;
Hilpert, Peter;1962;Selbständig;99;1;NPD;;;130;0;
Hilscher, Dr. Thomas;1955;Radiologe;84;1;BP;BY;3;257;0;
Hilz, Dr. Hauke;1977;Professor für Lebensmittelchemie;87;1;FDP;HB;2;55;0;
Hinkel, Heinz Karl;1949;selbständiger Kaufmann;67;1;REP;RP;3;211;0;
Hintner, Thomas;1960;Kommunikationsdesigner;83;1;Die PARTEI;HE;12;;0;
Hintze, Peter;1950;Parlamentarischer Staatssekretär;76;1;CDU;NW;5;102;2;
Hinz, Dr. Peter;1958;Rechtsanwalt;81;1;CDU;BW;16;;2;
Hinz, Martina;1957;Hausfrau;95;2;BüSo;BE;17;;0;
Hinz, Petra;1962;Juristin;81;2;SPD;NW;26;120;2;
Hinz, Priska Margarete;1959;Mitglied des Deutschen Bundestages;76;2;GRÜNE;HE;1;172;2;
Hipp, Simson;1984;Zimmermann;48;1;FREIE WÄHLER;BY;7;249;0;
Hirte, Christian;1976;MdB, Rechtsanwalt;76;1;CDU;TH;4;190;1;
Hirte, Prof. Dr. Heribert;1958;Universitätsprofessor;87;1;CDU;NW;55;94;1;
Hirtz, Lukas Maximilian;1989;Student;94;1;DIE LINKE;NW;16;116;0;
Hitschler, Thomas;1982;Politikwissenschaftler;88;1;SPD;RP;6;212;2;
Hnida, Jeannette;1965;Bürokauffrau;78;2;FREIE WÄHLER;BE;3;;0;
Hochbaum, Robert;1954;Mitglied des Deutschen Bundestages;76;1;CDU;;;166;1;
Hochrainer, Dr. Thomas;1975;Professor;87;1;AfD;NI;7;34;0;
Hochstein, Stephan;1983;Medizinisch technischer Assistent;85;1;BüSo;NW;2;95;0;
Hock, Georg;1950;Unternehmensberater;75;1;AfD;BY;35;240;0;
Höcke, Björn;1972;Gymnasiallehrer, Beamter;87;1;AfD;TH;2;;0;
