© Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;
;;;;;;;;;;
Alphabetisches Verzeichnis der Wahlbewerber zur Bundestagswahl 2013;;;;;;;;;;
;;;;;;;;;;
Name, Vorname;Geburtsjahr;Beruf;Berufsschlüssel;Geschlecht;Partei;Land;Platz;Wahlkreis;"Gewählt: 1=über Wkr; 2=über LL";
Appel, Detlef;1955;Kaufmann;78;1;NPD;;;58;0;
Arbabian-Vogel, Jasmin;1968;Unternehmerin;75;2;SPD;NI;32;;0;
Arendt, Dirk Reinhard;1976;Konstruktionsmechaniker für Schiffsbautechnik;25;1;NPD;MV;7;;0;
Arens, Marianne;1952;CAD-Zeichnerin;64;2;PSG;HE;1;;0;
Armbruster, Gerd;1963;Oberverwaltungsrat;76;1;SPD;RP;17;;0;
Armstroff, Dörthe;1958;Fotografin;83;2;NPD;;;209;0;
Armstroff, Klaus;1957;Elektriker;31;1;NPD;;;212;0;
Arndt, Hans;1957;Kraftwerksmeister;54;1;FREIE WÄHLER;RP;8;208;0;
Arndt, Volker Andreas;1977;TV-Redakteur;82;1;PIRATEN;BY;20;;0;
Arndt-Brauer, Ingrid;1961;MdB, Diplom-Kauffrau, Diplom-Soziologin;76;2;SPD;NW;6;124;2;
Arnold, Bendrick;1946;Rentner;95;1;MLPD;BY;12;;0;
Arnold, Friedrich Robert;1976;Diplom-Volkswirt;88;1;PIRATEN;NW;21;;0;
Arnold, Rainer;1950;Mitglied des Deutschen Bundestages;76;1;SPD;BW;5;262;2;
Arnold, Sascha;1977;Fluggerätemechaniker;28;1;NPD;;;186;0;
Artus, Kersten Angela;1964;Redakteurin;82;2;DIE LINKE;HH;5;20;0;
Arweiler, Pascal;1992;Student;94;1;SPD;SL;6;;0;
Aschenberg-Dugnus, Christine;1959;Rechtsanwältin;81;2;FDP;SH;5;4;0;
Aslanidis, Spiridon;1969;Projektleiter;75;1;GRÜNE;SH;8;11;0;
Assmann, Marcus-Alexander;1984;Physiker;61;1;Die PARTEI;HE;16;171;0;
Aßmuth, Bodo Dirk;1964;Diplom-Ingenieur (FH);60;1;AfD;NW;21;108;0;
Atalan, Ali;1968;Diplom-Sozialwissenschaftler;88;1;DIE LINKE;;;127;0;
Auernhammer, Artur Friedrich;1963;Landwirtschaftsmeister;1;1;CSU;BY;34;;2;
Augner, Claas;1990;Student;94;1;Die PARTEI;BE;10;;0;
Augustin, Marius;1981;Schlafwagenschaffner;92;1;NEIN!;;;214;0;
Augustinowski, Klaus;1937;Industriemeister Maschinenbau;65;1;Volksabstimmung;NW;3;;0;
Aulenbacher, Reiner;1957;Elektrosteiger;62;1;MLPD;SL;4;;0;
Aurnhammer, Tom Thomas Hans Michael;1966;Mediengestalter Bild und Ton;83;1;GRÜNE;BY;30;246;0;
Außendorf, Maik;1971;Diplom-Mathematiker;61;1;GRÜNE;NW;36;100;0;
Aust, Jonas;1990;Schüler;94;1;PIRATEN;;;131;0;
Aye, Werner;1950;Apotheker;84;1;ÖDP;NW;10;;0;
Aymaz, Berivan;1972;freiberufliche Moderatorin, Übersetzerin;82;2;GRÜNE;;;93;0;
Baare, Johannes;1978;Rechtsanwalt;81;1;AfD;HE;15;;0;
Babatankuz, Mehmet;1960;Rentner;95;1;Anderer KWV;;;90;0;
Baberowski, Nadja;1987;Politologin (B.A.), Masterstudentin;88;2;PIRATEN;SN;5;;0;
Babic, Safet;1981;Politologe M.A.;88;1;NPD;RP;3;204;0;
Bablick, Raphael;1978;Berufsschullehrer;87;1;FREIE WÄHLER;BY;24;214;0;
Bach, Bela;1990;Studentin;94;2;SPD;BY;32;222;0;
Bach, Sebastian Freimund;1982;Mediengestalter;83;1;DIE LINKE;TH;9;;0;
Bächle-Blum, Christel;1959;Diplom-Informatikerin (FH);77;2;FREIE WÄHLER;BW;2;286;0;
Bachmann, Brigitte;1956;Speditionskauffrau;70;2;SPD;BY;34;232;0;
Backes, Veronika;1956;Angestellte;78;2;CDU;HE;46;;0;
Bade, Hartmut;1961;Selbstständig;99;1;FDP;BE;8;75;0;
Bader, Jürgen Albert Richard;1960;Drucker;17;1;MLPD;HH;2;19;0;
Bader, Nils;1980;Polizeibeamter;80;1;SPD;NI;53;;0;
Badum, Lisa;1983;Politologin;88;2;GRÜNE;BY;13;;0;
Baehrens, Heike;1955;Geschäftsführerin, Diakonin;75;2;SPD;BW;16;263;2;
Baerbock, Annalena Charlotte Alma;1980;Völkerrechtlerin;81;2;GRÜNE;BB;1;61;2;
Bahmann, Uwe;1958;Kriminalhauptkommisar;80;1;AfD;;;87;0;
Bahr, Daniel;1976;Bundesminister;76;1;FDP;NW;2;129;0;
Bähr, Dr. Jürgen;1948;Diplom-Physiker;61;1;FREIE WÄHLER;BB;5;;0;
Bahr, Ulrike Renate Martina;1964;Lehrerin;87;2;SPD;BY;16;252;2;
Bähr-Losse, Bettina;1967;Rechtsanwältin;81;2;SPD;NW;36;98;0;
Bahtiri, Tatjana;1977;Dolmetscherin;82;2;REP;NW;5;;0;
Balbin, Björn-Christopher;1971;Gärtner;5;1;NPD;;;221;0;
Balci, Osman;1963;Heizungsmonteur;26;1;BIG;BW;8;;0;
Balck, Angelika;1972;Heilpraktikerin i. A.;85;2;RENTNER;HH;3;;0;
Balck, Dieter;1941;Verkaufsleiter i. R.;95;1;RENTNER;HH;2;;0;
Baldes, Franziska;1969;Sängerin;83;2;MLPD;HH;3;;0;
Balg, Torsten;1971;Ingenieur;60;1;ÖDP;RP;24;;0;
Balke, Dr. Michael;1954;Finanzrichter;81;1;AfD;NW;2;;0;
Balke, Michael;1967;Rentner;95;1;PIRATEN;;;169;0;
Ballerstädt, Kay-Olaf;1980;Wissenschaftlicher Angestellter;88;1;FREIE WÄHLER;BW;25;274;0;
Bambach, Rüdiger Horst;1939;Rentner;95;1;FDP;HH;10;;0;
Bank, Dr. Sabine;1954;Fachärztin für Allgemeinmedizin;84;2;FREIE WÄHLER;MV;7;12;0;
Bannert, Markus;1976;Archivar;82;1;DIE LINKE;;;214;0;
Bannert, Stefan;1966;Werkzeugmacher;29;1;DIE LINKE;;;248;0;
