# (c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Berufsschlüssel;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur;"Gewählt: 1=über Wkr; 2=über LL"
;zum;Felde;Astrid;w;1963;Grünendeich;Berlin;Hausfrau;6;NI;30;Stade I – Rotenburg II;AfD;Alternative für Deutschland;;;;;;0
;;Felde-Bajerowitz;Gregor;m;1968;Berlin;Berlin;Künstler;93;BE;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;EB: Felde-Bajerowitz;GROG;;;;;;0
;;Feldmann;Katrin;w;1968;Aachen;Braunschweig;Politikwissenschaftlerin (M. A.);91;NW;87;Aachen I;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;29;;0
;;Feldmeier;Solveig;w;1961;Halle (Saale);Roßlau;Dipl.-Lehrerin;84;;;;;;ST;BGE;Bündnis Grundeinkommen;3;;0
Dr.;;Felgentreu;Fritz;m;1968;Berlin;Kiel;MdB / klassischer Philologe / Lehrer;71;BE;82;Berlin-Neukölln;SPD;Sozialdemokratische Partei Deutschlands;;;;;X;1
;;Fellauer;Madeleine;w;1979;Stuttgart;Torgau;Ergotherapeutin;81;SN;152;Leipzig I;BüSo;Bürgerrechtsbewegung Solidarität;SN;BüSo;Bürgerrechtsbewegung Solidarität;6;;0
;;Feller;Nicole Susanne;w;1961;Spiesen-Elversberg;Neunkirchen;med. Angestellte;81;;;;;;SL;DM;Deutsche Mitte;3;;0
;;Felser;Peter;m;1969;Altusried;Dillingen a.d.Donau;Unternehmer;71;BY;256;Oberallgäu;AfD;Alternative für Deutschland;BY;AfD;Alternative für Deutschland;7;;2
;;Felstehausen;Torsten;m;1965;Kaufungen;Hansestadt Bremen;Technologieberater;27;HE;168;Kassel;DIE LINKE;DIE LINKE;;;;;;0
;;Ferlemann;Enak;m;1963;Cuxhaven;Bad Rothenfelde;MdB / parl. Staatssekretär;71;NI;29;Cuxhaven – Stade II;CDU;Christlich Demokratische Union Deutschlands;NI;CDU;Christlich Demokratische Union Deutschlands;3;X;1
;;Fernbacher;Oscar;m;1945;Böblingen;Rudnik;Rentner;5;BW;279;Pforzheim;DIE RECHTE;DIE RECHTE;BW;DIE RECHTE;DIE RECHTE;2;;0
;;Ferschl;Susanne;w;1973;Kaufbeuren;Schwaz, Österreich;Betriebsratsvorsitzende;71;BY;257;Ostallgäu;DIE LINKE;DIE LINKE;BY;DIE LINKE;DIE LINKE;3;;2
Dr.;;Fest;Nicolaus;m;1962;Berlin;Hamburg;Publizist;92;BE;80;Berlin-Charlottenburg-Wilmersdorf;AfD;Alternative für Deutschland;BE;AfD;Alternative für Deutschland;5;;0
;;Feucht;Erwin;m;1959;Balingen;Balingen;Konditormeister;29;BW;295;Zollernalb – Sigmaringen;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;40;;0
;;Fick;Thomas;m;1957;Leingarten;Creglingen;Geschäftsführer;71;BW;267;Heilbronn;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Fiedler;Cristin Marth Roberta;w;1997;Apolda;Apolda;Schülerin;4;;;;;;TH;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;6;;0
;;Fiedler;Hendrik;m;1993;Bremen;Papenburg;Student;4;;;;;;HB;BGE;Bündnis Grundeinkommen;6;;0
;;Fiedler;Jean-Christoph;m;1982;Viernheim;Eilenburg;Angestellter;71;;;;;;HE;NPD;Nationaldemokratische Partei Deutschlands;1;;0
;;Fiedler;Joachim;m;1958;Hamburg;Hamburg;angestellter IT-Administrator;43;;;;;;HH;BGE;Bündnis Grundeinkommen;3;;0
;;Fiedler;Matthias;m;1987;Heilbad Heiligenstadt;Stendal;Elektroniker;26;;;;;;TH;NPD;Nationaldemokratische Partei Deutschlands;7;;0
;;Fielsch;Michael;m;1965;Berlin;Berlin;Rentner;5;BE;75;Berlin-Mitte;EB: Fielsch;Grundeinkommen-für-alle.org;;;;;;0
;;Fietz;Thomas;m;1966;Rittersdorf;Erfurt;Geschäftsführer;71;;;;;;TH;BGE;Bündnis Grundeinkommen;1;;0
;;Fimmen;Klaus;m;1956;Berlin;Bremen;kfm. Angestellter;71;;;;;;BE;BüSo;Bürgerrechtsbewegung Solidarität;11;;0
Dr.;;Finckh-Krämer;Ute;w;1956;Berlin;Wiesbaden;MdB / Dipl.-Mathematikerin;71;BE;79;Berlin-Steglitz-Zehlendorf;SPD;Sozialdemokratische Partei Deutschlands;BE;SPD;Sozialdemokratische Partei Deutschlands;7;X;0
;;Fingert;Annemarie;w;1955;München;München;Angestellte;71;;;;;;BY;DIE LINKE;DIE LINKE;15;;0
;;Finkbohner;Yasmin Dominique;w;1986;Büttelborn;Mainz;Kunsthistorikerin;94;;;;;;HE;ÖDP;Ökologisch-Demokratische Partei;3;;0
;;Finke;Ronald;m;1969;Ludwigsfelde;Greifswald;Versicherungsmakler;72;;;;;;BB;DM;Deutsche Mitte;11;;0
;von;Fintel;Victor Alexander;m;1971;Wilhelmshaven;Nottingham, Großbritannien;Marketingberater;92;NI;26;Friesland – Wilhelmshaven – Wittmund;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NI;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;22;;0
;;Firat;Tuna;m;1981;Dietzenbach;Dieburg;Rechtsanwalt;73;HE;185;Offenbach;SPD;Sozialdemokratische Partei Deutschlands;HE;SPD;Sozialdemokratische Partei Deutschlands;19;;0
;;Fischbacher;Brigitte Susanne;w;1966;Vaterstetten;München;Immobilienmaklerin;61;BY;213;Erding – Ebersberg;AfD;Alternative für Deutschland;;;;;;0
;;Fischer;Axel;m;1966;Eggenstein-Leopoldshafen;Karlsruhe;MdB;71;BW;272;Karlsruhe-Land;CDU;Christlich Demokratische Union Deutschlands;;;;;X;1
;;Fischer;Christian;m;1979;Erfurt;Erfurt;Systemadministrator;43;;;;;;TH;PIRATEN;Piratenpartei Deutschland;4;;0
;;Fischer;Felix;m;1991;Teningen;Emmendingen;Geschäftsführer;71;BW;283;Emmendingen – Lahr;FDP;Freie Demokratische Partei;;;;;;0
;;Fischer;Leonhard Georg;m;1981;Frankfurt am Main;München;Journalist;92;HE;183;Frankfurt am Main II;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;HE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;9;;0
;;Fischer;Lucia Maria;w;1967;Legau;Legau;Wirtschaftsinformatikerin;43;BY;256;Oberallgäu;ÖDP;Ökologisch-Demokratische Partei;;;;;;0
;;Fischer;Maria Therese;w;1962;Rimsting;Chatan Okinawa, Japan;Religionslehrerin;84;BY;222;Rosenheim;FREIE WÄHLER;FREIE WÄHLER;BY;FREIE WÄHLER;FREIE WÄHLER;20;;0
;;Fischer;Martin;m;1991;Illerich;Koblenz;Student;4;RP;200;Mosel/Rhein-Hunsrück;AfD;Alternative für Deutschland;RP;AfD;Alternative für Deutschland;9;;0
;;Fischer;Michael;m;1968;Berlin;Geislingen an der Steige;selbständig;9;;;;;;BE;DiB;DEMOKRATIE IN BEWEGUNG;9;;0
;;Fischer;Sabine;w;1970;Königslutter am Elm;Düsseldorf;selbständig;9;;;;;;NI;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;7;;0
;;Fischer;Tobias Peter;m;1988;Bensheim;Bensheim;Student;4;;;;;;HE;AfD;Alternative für Deutschland;13;;0
;;Fischer;Ursula;w;1937;Eisenach;Weimar;Rentnerin;5;;;;;;TH;MLPD;Marxistisch-Leninistische Partei Deutschlands;4;;0
;;Fischer;Werner;m;1955;Kaufbeuren;Kaufbeuren;Dipl.-Finanzwirt (FH);73;BY;257;Ostallgäu;UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie;;;;;;0
;;Fischer-Pinz;Brit-Meike;w;1973;Hamburg;Hamburg;Fachärztin für Psychiatrie und Psychotherapie;81;;;;;;HH;CDU;Christlich Demokratische Union Deutschlands;10;;0
;;Fitz;Lukas Rudolf Germut;m;1995;Meitingen;Bad Waldsee;Student;4;;;;;;BY;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;16;;0
;;Fitzner;Florian;m;1984;Kluis;Berlin;Therapeut;81;;;;;;MV;BGE;Bündnis Grundeinkommen;4;;0
Dr.;;Flachsbarth;Maria Franziska;w;1963;Hannover;Lünen;MdB / Tierärztin;81;NI;47;Hannover-Land II;CDU;Christlich Demokratische Union Deutschlands;NI;CDU;Christlich Demokratische Union Deutschlands;4;X;2
;;Flachsmeyer;Uwe;m;1967;Rostock;Rostock;Dipl.-Kaufmann;71;MV;14;Rostock – Landkreis Rostock II;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
Dr.;;Fleck;Helmut;m;1938;Siegburg;Königsberg / Ostpreußen;Dipl.-Bauingenieur / Dipl.-Wirtschaftsingenieur;31;NW;97;Rhein-Sieg-Kreis I;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung;NW;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung;1;;0
;;Fleig;Florian Alexander;m;1981;Friedberg;Friedberg;Rechtsanwalt;73;;;;;;BY;CSU;Christlich-Soziale Union in Bayern e.V.;56;;0
;;Fleischer;Franz Martin;m;1954;Fürth;Brand;Geschäftsführer;71;BY;243;Fürth;FDP;Freie Demokratische Partei;BY;FDP;Freie Demokratische Partei;35;;0
;;Fleischhauer;Helmut Paul;m;1947;Forst (Lausitz);Muckum (jetzt Rödinghausen);Rentner;5;BB;64;Cottbus – Spree-Neiße;EB: Fleischhauer;Parteilos und Unabhängig für die Region;;;;;;0
;;Fleischmann;Winfried Andreas;m;1950;Erlangen;Kalteneggolsfeld (jetzt Heiligenstadt);kfm. Angestellter;71;;;;;;BY;MLPD;Marxistisch-Leninistische Partei Deutschlands;6;;0
;;Flemming-Schmidt;Petra;w;1956;Bad Driburg;Bad Driburg;Buchhalterin;72;;;;;;NW;ÖDP;Ökologisch-Demokratische Partei;7;;0
;;Flick;Sebastian;m;1990;Berlin;Berlin;Student;4;;;;;;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;51;;0
;;Flinks;Julius;m;1996;Cloppenburg;Cloppenburg;Student;4;NI;32;Cloppenburg – Vechta;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Flisek;Christian;m;1974;Passau;Bochum;MdB / Rechtsanwalt;71;BY;229;Passau;SPD;Sozialdemokratische Partei Deutschlands;BY;SPD;Sozialdemokratische Partei Deutschlands;21;X;0
;;Flöge;Holger;m;1956;Ilsede;Oldenburg (Oldenburg);Dipl.-Kaufmann;71;NI;45;Gifhorn – Peine;FDP;Freie Demokratische Partei;NI;FDP;Freie Demokratische Partei;8;;0
;;Flohrschütz;Rainer;m;1959;Marburg;Soest;Dipl.-Politologe;91;HE;171;Marburg;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;HE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;22;;0
;;Flott;Günter Walter;m;1968;Hamburg;Günzburg;Karrierecoach;84;;;;;;HH;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;8;;0
;;Flott;Jonas;m;1995;Kempten (Allgäu);Kaufbeuren;Student;4;BY;257;Ostallgäu;FDP;Freie Demokratische Partei;BY;FDP;Freie Demokratische Partei;41;;0
Dr.;;Föhr;Bernd;m;1987;Mainz;Speyer;Dipl.-Biologe / Wissenschaftler;84;RP;205;Mainz;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;RP;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;11;;0
;;Foitzik;Johannes;m;1960;Sengenthal;Mettingen;Abteilungsleiter;71;BY;232;Amberg;SPD;Sozialdemokratische Partei Deutschlands;BY;SPD;Sozialdemokratische Partei Deutschlands;27;;0
;;Földesi;László;m;1987;Hamburg;Berlin;Kulturwissenschaftler;91;;;;;;HH;BGE;Bündnis Grundeinkommen;2;;0
;;Fonk;Clemens;m;1997;Barsbek;Kiel;Garten- und Landschaftsbauer;12;;;;;;SH;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;4;;0
;;Forster;Manuela;w;1972;Nürnberg;Forchheim;Medizinproduktberaterin;61;BY;244;Nürnberg-Nord;ÖDP;Ökologisch-Demokratische Partei;;;;;;0
;;Förster;Heiko;m;1981;Rüdesheim;Bad Kreuznach;Schichtleiter;27;;;;;;RP;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;12;;0
;;Förster;Horst;m;1942;Penzlin;Düsseldorf;Amtsgerichtsdirektor a. D.;5;;;;;;MV;AfD;Alternative für Deutschland;8;;0
;;Fortagne-Dimitrova;Isabelle;w;1976;Lörrach;Leipzig;Schauspielerin;94;;;;;;BW;BGE;Bündnis Grundeinkommen;7;;0
;;Föst;Daniel;m;1976;München;Schweinfurt;selbständig;71;BY;217;München-Nord;FDP;Freie Demokratische Partei;BY;FDP;Freie Demokratische Partei;1;;2
;;Föttinger;Verena;w;1956;Fluorn-Winzeln;Oberndorf am Neckar;Dipl.-Theologin;83;BW;285;Rottweil – Tuttlingen;ÖDP;Ökologisch-Demokratische Partei;BW;ÖDP;Ökologisch-Demokratische Partei;1;;0
;;Frahm;Detlef-Michael;m;1944;Erfurt;Erfurt;Pensionär;5;TH;193;Erfurt – Weimar – Weimarer Land II;FREIE WÄHLER;FREIE WÄHLER;TH;FREIE WÄHLER;FREIE WÄHLER;6;;0
;;Frank;Christopher;m;1986;Saarbrücken;Saarlouis;Angestellter Logistik;71;;;;;;SL;DM;Deutsche Mitte;1;;0
;;Frank;Daniela;w;1978;Berlin;Berlin;Kauffrau im Gesundheitswesen;73;;;;;;BE;Die Grauen;Die Grauen – Für alle Generationen;4;;0
Dr.;;Frank;Jessica;w;1986;Tiefenbronn;Stuttgart;Hochschuldozentin;84;;;;;;BW;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;2;;0
;;Frank;Muna;w;1997;Berlin;Berlin;Auszubildende;4;;;;;;BE;Die Grauen;Die Grauen – Für alle Generationen;2;;0
;;Frank;Ralf;m;1981;Schwalbach;Saarlouis;Studienrat;84;;;;;;SL;SPD;Sozialdemokratische Partei Deutschlands;13;;0
;;Frank;Thomas;m;1964;München;Regensburg;Gymnasiallehrer;84;;;;;;BY;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;5;;0
;;Franke;Bettina;w;1968;Potsdam;Cottbus;Logopädin;81;BB;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;BB;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;7;;0
;;Franke;Eckhard;m;1952;Berlin;Hennigsdorf;Lehrer;84;BE;84;Berlin-Treptow-Köpenick;MLPD;Marxistisch-Leninistische Partei Deutschlands;;;;;;0
Dr.;;Franke;Edgar Konrad Hartmut;m;1960;Gudensberg;Gudensberg;MdB;71;HE;170;Schwalm-Eder;SPD;Sozialdemokratische Partei Deutschlands;HE;SPD;Sozialdemokratische Partei Deutschlands;11;X;1
;;Franke;Kenneth Justin Max;m;1993;Potsdam;Lübeck;Student;4;;;;;;BB;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;10;;0
;;Franke;Maxime-Kathrein Viktoria;w;1990;Frankfurt am Main;Wittmund;Rechtsreferendarin;73;;;;;;HE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;28;;0
;von;Frankenberg und Proschlitz;Jobst-Egbert Dietrich Armin Friedrich Stefan;m;1967;Hamburg;Hamburg;stellv. Schulleiter;84;;;;;;HH;CDU;Christlich Demokratische Union Deutschlands;8;;0
;;Frankenberger;Angelika Renate Hildegard;w;1942;Berlin;Berlin;Rentnerin;5;;;;;;NW;Gesundheitsforschung;Partei für Gesundheitsforschung;1;;0
;;Franz;Christiane Sabine;w;1969;Hamburg;Berlin;Krankenpflegerin;81;;;;;;HH;BGE;Bündnis Grundeinkommen;10;;0
;;Franz;Frank Willi;m;1978;Völklingen;Völklingen;Physiotherapeut;81;SL;296;Saarbrücken;NPD;Nationaldemokratische Partei Deutschlands;SL;NPD;Nationaldemokratische Partei Deutschlands;1;;0
;;Franz;Markus;m;1963;Saarbrücken;Völklingen;Fachkraft für Qualitätsmanagement;27;;;;;;SL;CDU;Christlich Demokratische Union Deutschlands;18;;0
;;Franz;Michael;m;1958;Berlin;Königs Wusterhausen;Kfz.-Schlosser;25;;;;;;BE;BüSo;Bürgerrechtsbewegung Solidarität;9;;0
;;Franz;Torben;m;1994;Nienburg (Weser);Nienburg (Weser);Student;4;NI;40;Nienburg II – Schaumburg;DIE LINKE;DIE LINKE;;;;;;0
;;Franzen;Nicole;w;1985;Wörth am Rhein;Kandel;Ingenieurin;27;;;;;;RP;FDP;Freie Demokratische Partei;36;;0
;;Frauendorfer;Michaela Gertraud Anna;w;1965;Amberg;Amberg;Staatsanwältin als Gruppenleiterin;73;;;;;;BY;CSU;Christlich-Soziale Union in Bayern e.V.;45;;0
;;Frech;Thomas;m;1984;Kornwestheim;Stuttgart;Rentner;5;;;;;;BW;DM;Deutsche Mitte;15;;0
;;Frederking;Matthias Thomas;m;1993;Pegnitz;Pegnitz;Beamter;73;;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;16;;0
;;Freese;Ulrich Ronald;m;1951;Spremberg;Drevenack;MdB;71;BB;64;Cottbus – Spree-Neiße;SPD;Sozialdemokratische Partei Deutschlands;BB;SPD;Sozialdemokratische Partei Deutschlands;2;X;2
;;Frei;Martin;m;1985;Frankfurt am Main;Frankfurt am Main;Altenpfleger;82;;;;;;HE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;29;;0
;;Frei;Thorsten;m;1973;Donaueschingen;Bad Säckingen;MdB;71;BW;286;Schwarzwald-Baar;CDU;Christlich Demokratische Union Deutschlands;;;;;X;1
;;Freihoffer;Irmgard;w;1961;Regensburg;Deggendorf;Lehrerin;84;BY;233;Regensburg;DIE LINKE;DIE LINKE;BY;DIE LINKE;DIE LINKE;17;;0
;;Freihold;Brigitte;w;1955;Pirmasens;Kaiserslautern;Lehrerin;84;RP;210;Pirmasens;DIE LINKE;DIE LINKE;RP;DIE LINKE;DIE LINKE;3;;2
;;Freitag;Dagmar;w;1953;Iserlohn;Letmathe (jetzt Iserlohn);Lehrerin a. D.;5;NW;150;Märkischer Kreis II;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;6;X;1
;;Frenzel;Harald Hermann;m;1961;Fränkisch-Crumbach;Frankfurt am Main;Berufsfeuerwehrmann;53;HE;187;Odenwald;EB: Frenzel;Harald Frenzel;;;;;;0
;;Frerking;Silas Rouven;m;1987;Bamberg;Walsrode;Servicetechniker;25;;;;;;BY;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;7;;0
;;Fresdorf;Paul;m;1977;Berlin;Berlin;Dipl.-Wirtschaftsjurist (FH);73;BE;78;Berlin-Spandau – Charlottenburg Nord;FDP;Freie Demokratische Partei;;;;;;0
Dr.;;Freudenstein;Astrid;w;1973;Regensburg;Griesbach i.Rottal;MdB;71;;;;;;BY;CSU;Christlich-Soziale Union in Bayern e.V.;26;X;0
;;Freudigmann;Klaus;m;1942;Berlin;Gablonz;Elektromechaniker / Rentner;5;BE;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;MLPD;Marxistisch-Leninistische Partei Deutschlands;BE;MLPD;Marxistisch-Leninistische Partei Deutschlands;12;;0
;;Fricke;Otto;m;1965;Krefeld;Krefeld;Rechtsanwalt;73;NW;110;Krefeld I – Neuss II;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;7;;2
;;Frieben-Wischer;Karla Annemarie;w;1962;Kiel;Heide (Holstein);Journalistin;92;;;;;;SH;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;9;;0
;;Friede;Lisa-Marie;w;1992;Köln;Salzkotten;Studentin;4;NW;101;Leverkusen – Köln IV;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;17;;0
;;Friedel;Lea Joy;w;1993;Berlin;Fürth;Musikerin;94;BE;75;Berlin-Mitte;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;3;;0
;;Friedhoff;Dietmar;m;1966;Neustadt am Rübenberge;Hagen;Dipl.-Ingenieur / Vertriebstrainer;27;NI;43;Hannover-Land I;AfD;Alternative für Deutschland;NI;AfD;Alternative für Deutschland;5;;2
;;Friedrich;Hans Ludwig;m;1952;Zweibrücken;Altenkirchen / Kusel;Vermessungsbeamter i. R.;5;;;;;;RP;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;1;;0
Dr.;;Friedrich;Hans-Peter;m;1957;Hof;Naila;MdB;71;BY;239;Hof;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;8;X;1
;;Friedrich;Holm;m;1965;Bremen;Hannover;Consultant;43;;;;;;HB;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;10;;0
;;Friedrich;Klaus-Jürgen Günther;m;1950;Bad Kreuznach;Unterlauter;Dipl.-Ing. (FH) Energieberater;42;;;;;;RP;FDP;Freie Demokratische Partei;29;;0
;;Friedrich;Lena;w;1993;Bremerhaven;Winsen (Luhe);Ökotrophologin;82;;;;;;HB;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;1;;0
;;Friedrich;Ralf;m;1966;Nordhausen;Nordhausen;Rentner;5;;;;;;TH;NPD;Nationaldemokratische Partei Deutschlands;8;;0
;;Friedrichs;Michael Johannes;m;1961;Darmstadt;Dortmund;Dipl.-Mathematiker;41;HE;186;Darmstadt;DIE LINKE;DIE LINKE;;;;;;0
;;Friedrichs-Heinemann;Beate;w;1958;Kiel;Werne;Sonderschullehrerin;84;;;;;;SH;SPD;Sozialdemokratische Partei Deutschlands;12;;0
;;Friemann-Jennert;Maika;w;1964;Ludwigslust;Ludwigslust;MdL / Dipl.-Bibliothekarin;71;;;;;;MV;CDU;Christlich Demokratische Union Deutschlands;7;;0
Dr.;;Friesen;Anton;m;1985;Erfurt;Uspenska, Kasachstan;wiss. Mitarbeiter;84;;;;;;TH;AfD;Alternative für Deutschland;5;;2
;;Frieser;Michael;m;1964;Nürnberg;Nürnberg;MdB / Rechtsanwalt;71;BY;245;Nürnberg-Süd;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;21;X;1
;;Frimmel;Rüdiger;m;1971;Filderstadt;Nürtingen;kfm. Angestellter;71;;;;;;BW;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;14;;0
;;Frisch;Patrick;m;1989;Lippersdorf-Erdmannsdorf;Jena;Betriebswirt (M. Sc.);71;;;;;;TH;FDP;Freie Demokratische Partei;12;;0
;;Fritz;Christine;w;1977;Wetzlar;Wetzlar;Beamtin;73;;;;;;HE;NPD;Nationaldemokratische Partei Deutschlands;5;;0
;;Fritz;Susanne;w;1966;Kronsgaard;Goslar;Unternehmensberaterin;71;;;;;;SH;BGE;Bündnis Grundeinkommen;2;;0
Dr.;;Fröhlich;Patrick;m;1981;Sulzbach-Rosenberg;Sulzbach-Rosenberg;Angestellter;71;;;;;;BY;CSU;Christlich-Soziale Union in Bayern e.V.;61;;0
;;Frohnmaier;Markus;m;1991;Weil der Stadt;Craiova;Pressesprecher;92;BW;260;Böblingen;AfD;Alternative für Deutschland;BW;AfD;Alternative für Deutschland;4;;2
;;Frölich;Günther;m;1954;Weissach;Stuttgart;Dipl.-Ingenieur (FH);27;BW;265;Ludwigsburg;FREIE WÄHLER;FREIE WÄHLER;BW;FREIE WÄHLER;FREIE WÄHLER;3;;0
;;Frömberg;Madeline;w;1990;Plauen;Chemnitz;Servicekraft;63;;;;;;SN;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;4;;0
Dr.;;Frömming;Götz;m;1968;Berlin;Eutin;Studiendirektor;84;;;;;;BE;AfD;Alternative für Deutschland;3;;2
;;Frömmrich;Jürgen;m;1959;Frankenberg (Eder);Korbach;MdL;71;HE;167;Waldeck;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;HE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;8;;0
;;Frosina;Torsten;m;1986;Rostock;Stralsund;Wirtschaftsingenieur (B. Sc.);27;MV;14;Rostock – Landkreis Rostock II;ÖDP;Ökologisch-Demokratische Partei;;;;;;0
;;Fuchs;Andreas;m;1984;Merchweiler;Neunkirchen;Polizeibeamter;53;;;;;;SL;CDU;Christlich Demokratische Union Deutschlands;21;;0
;;Fuchs;Christiane;w;1961;Möser;Zeitz;Betriebswirtin;71;ST;67;Börde – Jerichower Land;FDP;Freie Demokratische Partei;ST;FDP;Freie Demokratische Partei;5;;0
;;Fuchs;David;m;1987;Göttingen;Bergisch Gladbach;Geograph;42;;;;;;NI;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;8;;0
;;Fuchs;Klaus;m;1954;Bitterfeld-Wolfen;Celle;Kommunikationselektroniker;26;ST;71;Anhalt;MLPD;Marxistisch-Leninistische Partei Deutschlands;ST;MLPD;Marxistisch-Leninistische Partei Deutschlands;5;;0
;;Fuchs;Lorenz;m;1965;Schalkham;Vilsbiburg;Versicherungsmakler;71;BY;230;Rottal-Inn;FREIE WÄHLER;FREIE WÄHLER;BY;FREIE WÄHLER;FREIE WÄHLER;30;;0
;;Fuchs;Norbert;m;1961;Suhl;Bad Liebenstein;Angestellter im Außendienst;61;;;;;;TH;BGE;Bündnis Grundeinkommen;7;;0
;;Fuchtel;Hans-Joachim;m;1952;Altensteig;Sulz am Neckar;MdB / parl. Staatssekretär;71;BW;280;Calw;CDU;Christlich Demokratische Union Deutschlands;;;;;X;1
