# (c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Berufsschlüssel;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur;"Gewählt: 1=über Wkr; 2=über LL"
;;Aktürk;Erhan;m;1965;Landshut;Kigi/Bingol, Türkei;Schlosser;24;;;;;;NW;MLPD;Marxistisch-Leninistische Partei Deutschlands;2;;0
;;Al Basri;Saif;m;1989;Witten;Bagdad;Student;4;;;;;;NW;Gesundheitsforschung;Partei für Gesundheitsforschung;3;;0
;;Al Dailami;Ali Abass Yahya;m;1981;Gießen;Sanaa, Jemen;Restaurantfachmann;63;HE;173;Gießen;DIE LINKE;DIE LINKE;;;;;;0
Dr.;;Albach;Rolf William;m;1963;Köln;Bonn;Dipl.-Chemiker;41;NW;101;Leverkusen – Köln IV;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;26;;0
;;Albani;Stephan;m;1968;Bad Zwischenahn;Göttingen;MdB / Geschäftsführer;41;NI;27;Oldenburg – Ammerland;CDU;Christlich Demokratische Union Deutschlands;NI;CDU;Christlich Demokratische Union Deutschlands;6;X;2
;;Albers;Bernhard;m;1969;Mannheim;Mannheim;Angestellter;71;;;;;;BW;BGE;Bündnis Grundeinkommen;5;;0
;;Albert;Joachim;m;1958;Neuwied;Neuwied;Wirtschafter;11;;;;;;RP;FREIE WÄHLER;FREIE WÄHLER;20;;0
;;Alberti;Manfred;m;1947;Hamburg;Uhlstädt-Oberkrossen;Rentner;5;;;;;;HH;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;19;;0
Prof.;;Albrecht;Erich Willy;m;1950;Maintal;Weimar;Professor;84;;;;;;HE;AfD;Alternative für Deutschland;19;;0
;;Albrecht;Frank;m;1967;Duisburg;Duisburg;Ministerialrat;73;NW;116;Duisburg II;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;22;;0
;;Albsteiger;Katrin;w;1983;Neu-Ulm;Ulm;MdB / Politologin;71;;;;;;BY;CSU;Christlich-Soziale Union in Bayern e.V.;29;X;0
;;Aldenhoven;Christina Flora;w;1983;Wetter (Ruhr);Duisburg;Medizinstudentin;4;;;;;;NW;ÖDP;Ökologisch-Demokratische Partei;3;;0
;;Alff;Daniel;m;1977;Schwerin;Güstow;Rechtsanwalt;73;;;;;;MV;SPD;Sozialdemokratische Partei Deutschlands;8;;0
;;Al-Hassan;Fares;m;1978;Berlin;Gardelegen;Kurator;94;BE;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;B*;bergpartei, die überpartei;;;;;;0
;;Alias;Mazhar Hasan;m;1974;Gelsenkirchen;Al-Yaurubiya;Koch / Landschaftsgärtner;29;NW;125;Bottrop – Recklinghausen III;MLPD;Marxistisch-Leninistische Partei Deutschlands;NW;MLPD;Marxistisch-Leninistische Partei Deutschlands;13;;0
;;Allgayer-Reetze;Patricia Erika;w;1956;Zernien;Eichstätt;Hausfrau;6;;;;;;NI;AfD;Alternative für Deutschland;18;;0
;;Alloussi;Dyria;w;1980;Berlin;Homburg (Saar);Kommunikationswirtin;92;;;;;;BE;du.;Die Urbane. Eine HipHop Partei;4;;0
;;Alscher;Sebastian;m;1976;Frankfurt am Main;Berlin;Dipl.-Kaufmann;71;HE;183;Frankfurt am Main II;PIRATEN;Piratenpartei Deutschland;HE;PIRATEN;Piratenpartei Deutschland;1;;0
;;Alt;Renata;w;1965;Kirchheim unter Teck;Skalica;Chemieingenieurin;41;BW;262;Nürtingen;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;7;;2
;;Altenkamp;Norbert Maria;m;1972;Bad Soden am Taunus;Marl;Bürgermeister;71;HE;181;Main-Taunus;CDU;Christlich Demokratische Union Deutschlands;HE;CDU;Christlich Demokratische Union Deutschlands;21;;1
;;Altmaier;Peter;m;1958;Rehlingen-Siersburg;Ensdorf / Saar;Jurist;73;SL;297;Saarlouis;CDU;Christlich Demokratische Union Deutschlands;SL;CDU;Christlich Demokratische Union Deutschlands;1;X;1
;;Altmann;Peter;m;1969;Karlsruhe;Schorndorf;Angestellter;71;;;;;;BW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;13;;0
;;Amann;Dieter;m;1962;Waghäusel;Speyer;Beamter;73;BW;278;Bruchsal – Schwetzingen;AfD;Alternative für Deutschland;;;;;;0
;;Amann;Harold;m;1967;Anzing;Freilassing;Dipl.-Kaufmann;71;;;;;;BY;BP;Bayernpartei;2;;0
;;Ametsbichler;Tobias;m;1970;Glonn;Steinhöring;Revisor;72;;;;;;BY;DiB;DEMOKRATIE IN BEWEGUNG;8;;0
;;Ammermann;Rainer;m;1971;Hamburg;Dortmund;IT-Sachbearbeiter;43;;;;;;HH;BGE;Bündnis Grundeinkommen;1;;0
;;Amoozegar;Nick Papak;m;1990;Fulda;Neustadt am Rübenberge;Student;4;HE;174;Fulda;DIE LINKE;DIE LINKE;HE;DIE LINKE;DIE LINKE;6;;0
;;Amthor;Philipp;m;1992;Ueckermünde;Ueckermünde;Jurist;73;MV;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;CDU;Christlich Demokratische Union Deutschlands;MV;CDU;Christlich Demokratische Union Deutschlands;6;;1
;;Amtsberg;Luise;w;1984;Berlin;Greifswald;MdB / Islamwissenschaftlerin;91;SH;5;Kiel;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;SH;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;1;X;2
;;Anders;Kathrin;w;1982;Bad Vilbel;Frankfurt am Main;Dipl.-Sozialpädagogin (FH);83;HE;177;Wetterau I;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Anderson;Christine;w;1968;Limburg a.d. Lahn;Eschwege;Hausfrau;6;HE;178;Rheingau-Taunus – Limburg;AfD;Alternative für Deutschland;HE;AfD;Alternative für Deutschland;12;;0
;;Andre;Harald;m;1949;Stuttgart;Immenstadt im Allgäu;Rentner;5;BW;258;Stuttgart I;MLPD;Marxistisch-Leninistische Partei Deutschlands;BW;MLPD;Marxistisch-Leninistische Partei Deutschlands;4;;0
;;Andreae;Kerstin;w;1968;Freiburg im Breisgau;Schramberg;Dipl.-Volkswirtin;71;BW;281;Freiburg;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;1;X;2
;;Andrejewski;Michael;m;1959;Anklam;Baden-Baden;Rechtsanwalt;73;MV;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;NPD;Nationaldemokratische Partei Deutschlands;MV;NPD;Nationaldemokratische Partei Deutschlands;2;;0
;;Angenendt;Jürgen;m;1958;Mülheim an der Ruhr;Duisburg;Geschäftsführer;71;;;;;;NW;SPD;Sozialdemokratische Partei Deutschlands;71;;0
;von;Angern;Eva;w;1976;Magdeburg;Magdeburg;MdL / Juristin;71;ST;69;Magdeburg;DIE LINKE;DIE LINKE;ST;DIE LINKE;DIE LINKE;5;;0
;;Angerstein;Nicole;w;1973;Niedere Börde;Magdeburg;Sozialversicherungsfachangestellte;73;;;;;;ST;MG;Magdeburger Gartenpartei;2;;0
